sourceFile,CZ1,CZ2,CZ3,CZ4,CZ5,CZ6,CZ7,CZ8,CZ9,CZ10,CZ11
000018c0c8747e51ed8a454641757d12.csv,1.9,1.5,2,1.9,2,1.1,1.8,0.6,1.8,1.9,1.9
00033ef200dcc2d44654a3c973055405.csv,2,1.5,1.9,2,1.9,2,1.9,0.7,2,2,1.9
00098f955aceb3833d19c83d4b498739.csv,1.9,1.5,2,2,2,1.9,2,1.7,1.9,1.9,1.9
000b8af36f663b77a1fa7fe3e63ac2aa.csv,2,1.5,1.9,2,2,1.6,1.8,0.8,2,2,1.5
000f0688fba727b8366115faa11b8cc9.csv,2,1.5,1.9,2,2,1.9,2,0.6,1.9,2,1.8
001bb6ae7fa157919820c3905d95b6f4.csv,1.9,1.5,2,2,1.3,2,1.9,0.7,2,1.9,1.9
001c34efb7273ad3aa0941af52fbc259.csv,2,1.9,1.9,2,1.9,1.4,2,0.6,2,2,1.9
003378396abb360238c193575089571a.csv,1.9,1.9,2,2,2,2,1.9,0.9,1.9,1.9,1.8
0037416a42312cb1bc6224a3d653ad3e.csv,2,1.9,1.9,2,1.3,2,2,0.7,1.9,2,1.9
0037bc362747720643c1456501dc6c14.csv,1.9,1.8,1.9,2,1.9,1.9,2,0.6,1.9,0.9,2
00408aca29a651b9946cde76dc36f79e.csv,2,1.7,1.9,1.9,2,2,2,0.7,1.9,2,1.9
0047d7e0aec9090d81e06f02c02a8bfd.csv,2,1.5,2,1.3,1.9,1.9,2,0.7,2,2,1.9
00491d2d5e3e61ba8082dcefa2e266ec.csv,1,1,1,1,2,1,2,1,1.2,1,2
0054f31c9929e64a91bc9831f093e9f2.csv,1.9,1.4,1.5,1.9,2,1.8,2,0.8,2,2,1.9
005c00b76ae9690a18700e0b69ee753e.csv,0.6,1.5,2,1.9,2,2,1.8,0.6,1.8,1.9,1.9
005cd56192e5593ba23efd7133d88731.csv,1.9,1.4,1.9,1.9,2,1.8,2,0.8,2,2,1.9
005df4522485246401458b150c6c4c14.csv,1.9,1.9,1.9,2,2,2,2,0.6,1.3,2,1.9
007147373c216a2f6690bcef9d0afb11.csv,1,1,1,1,1,1,2,1,1.7,1,2
0071c70617da7bcfcc7e1e31eaa412a0.csv,1.1,1.9,2,1.9,1.9,2,2,0.8,2,2,1.7
00799e391a49df5905af0baa0b3d17d3.csv,1.9,0.9,1.9,2,1.9,1.9,2,0.5,1.9,1.9,2
007b82a60f268d1c20c8cd3a81c22c6a.csv,2,1.5,1.9,2,2,2,1.9,0.6,1.3,1.9,2
007b8a1c4a8bc0f4a3a160070f229205.csv,1.9,1.5,1.4,2,2,1.8,1.9,0.7,1.9,1.9,1.9
007f73cd64b313e99b29949322c2607a.csv,1.9,1.5,2,2,2,1.2,2,0.9,0.5,2,1.8
00940605a94fd9ea803c96cfab0db5ed.csv,2,2,2,1.9,1.9,1,2,0.9,1.9,1.9,1.9
00b16fddec27e5c88db71ccc943e4e60.csv,1.9,1.9,2,2,1.9,1.5,2,0.8,2,2,2
00b4aeba18c13afd6b58414cb27d2a46.csv,2,1.9,2,2,2,1.9,1.9,0.7,1.9,1.9,0.7
00b53cc27c03c0a4422bc34b21e87b75.csv,1.9,1.9,2,0.5,2,2,2,0.7,2,1.9,1.9
00b8b41064ce1400db60b3af2ed5f6b6.csv,2,1.5,1.9,1.9,1.3,2,2,0.7,1.9,2,1.8
00bd68d6934a91455e0a85d7dce1a417.csv,2,1.9,1.9,2,1.9,1.6,2,0.6,2,2,1.9
00bdafa0ab3af94d4dd9a40018920251.csv,2,0.6,1.9,2,1.9,1.9,2,0.7,2,2,1.9
00c6cfc07e1b7a19df0ceb94eacde688.csv,1.9,1.5,1.9,2,2,1.2,2,0.8,2,2,1.7
00cf3e7d106d2059f8b12584b457b44c.csv,2,1.8,2,1.9,1.9,1.4,2,0.8,2,1.9,2
00ea0c14f4456f2ed3ff10c0f54865a2.csv,1.9,1.8,2,1.9,2,1.9,1.9,0.7,1.9,1.9,0.9
00eac92f4960467d47f306b4edb99298.csv,1.9,1.9,1.9,1.5,1.9,1.9,1.9,0.7,1.9,2,1.9
00f4cfc8f8981aaab9aeacec722fe85d.csv,2,1.5,1,1,2,1,2,0.8,1.9,0.8,2
00f8b406049c56c11377c3079de4f0ab.csv,2,1.5,1.9,2,1.9,1.9,2,0.6,0.6,1.9,1.9
00f90165567dc133f4389e5aa658d300.csv,2,1.5,2,1.9,2,1.4,1,0.8,2,1.9,2
00fc39ebaa8812d8c96a44809b8eebcf.csv,1.9,1.9,2,1.9,0.9,1.9,2,0.6,1.9,2,1.9
00fd7196b01eb4f5cca4892d1a450647.csv,2,1.5,1.9,2,2,2,1.5,0.7,2,2,1.8
00ffdf4eb3b34b21436669d1efc2bd56.csv,1.3,1.5,1.9,2,2,1.6,1.9,0.8,1.9,2,2
01049e69ddda2aa94b8bb88d52fcbd82.csv,2,1.5,1.9,2,2,1.5,1.9,0.7,1.4,1.9,2
010fe0d854bdbba866074c75a08d337f.csv,1.9,1.5,2,1.9,1.9,1.8,1.9,0.7,2,2,1.2
011268bf3429883005269f3cc2ed471e.csv,2,1.5,1.9,0.6,1.9,2,1.9,0.6,2,1.9,1.9
011ee9a3896cf45895c16ae49ad0329d.csv,1.9,1.9,2,2,2,1.9,2,0.6,0.5,1.9,1.9
0121c6eab5118eacfc6bd8a547ea4208.csv,2,0.6,2,2,1.9,2,1.9,0.6,1.9,1.9,1.9
013ed9d278424c74797b27f40bda0ea6.csv,1.9,1.5,2,1.9,1.9,1.7,1.9,0.7,1.9,2,2
014a1aad0d673ac3357b05ae62155d6a.csv,1.9,1.5,1.9,2,2,1.7,2,0.8,2,2,2
014d39dad2302fc967e86a73bf041ee4.csv,1.9,0.6,2,2,2,1.9,2,0.6,1.9,1.9,1.9
01540f5a74d166e3d1d808c9334ce8f7.csv,2,1.5,2,2,1.9,1.5,2,0.8,1.9,2,0.9
016ba1ef37987d8a7f6dbcc9c5471494.csv,1.9,1.5,0.5,1.9,1.9,2,2,0.6,2,1.9,1.9
0172b74566040af8a0f39fb13d32a0bc.csv,1.9,1.9,1.9,1.9,1.9,2,1.9,2,1.9,2,2
0172e84f80f6c2fb7bb21e68dfaed430.csv,2,1.8,2,1.9,1.9,1.8,1.9,1.7,2,2,1.9
